ILYR	IROW	ICOL	CELLBOT
1	1	1	49.46243663
1	1	2	49.35178801
1	1	3	49.38278928
1	1	4	49.44738915
1	1	5	49.50613121
1	1	6	49.55199745
1	1	7	49.58625547
1	1	8	49.60463722
1	1	9	49.60370542
1	1	10	49.58372061
1	1	11	49.54586169
1	1	12	49.49246978
1	1	13	49.43111394
1	1	14	49.37344479
1	1	15	49.32954839
1	1	16	49.30593521
1	1	17	49.30603109
1	1	18	49.33095435
1	1	19	49.38011549
1	1	20	49.45157431
1	1	21	49.54212021
1	1	22	49.64699075
1	1	23	49.75890761
1	1	24	49.86563734
1	1	25	49.94795492
1	1	26	49.99512208
1	1	27	50.02590677
1	1	28	50.08474378
1	1	29	50.21744155
1	1	30	50.38518027
1	1	31	50.52073037
1	1	32	50.60467762
1	1	33	50.64109748
1	1	34	50.63784674
1	1	35	50.60283869
1	1	36	50.54485487
1	1	37	50.47544641
1	1	38	50.4105323
1	1	39	50.36606089
1	1	40	50.34710328
1	1	41	50.34976606
1	1	42	50.36814723
1	1	43	50.38985225
1	1	44	50.39502926
1	1	45	50.38669514
1	1	46	50.39209638
1	1	47	50.42493789
1	1	48	50.47314958
1	1	49	50.50125692
1	1	50	50.49899795
1	1	51	50.50183057
1	1	52	50.53371979
1	1	53	50.59157483
1	1	54	50.6518073
1	1	55	50.69782873
1	1	56	50.74281555
1	1	57	50.80006462
1	1	58	50.86932097
1	1	59	50.94047539
1	1	60	51.00004023
1	1	61	51.04435041
1	1	62	51.07944797
1	1	63	51.10917207
1	1	64	51.1319211
1	1	65	51.14299543
1	1	66	51.14251555
1	1	67	51.13806544
1	1	68	51.13470878
1	1	69	51.12684508
1	1	70	51.09975381
1	1	71	51.05628696
1	1	72	51.02485958
1	1	73	51.02608124
1	1	74	51.05581272
1	1	75	51.08413527
1	1	76	51.0978599
1	1	77	51.13031129
1	1	78	51.19801093
1	1	79	51.25638069
1	1	80	51.16034202
1	2	1	50.08049761
1	2	2	49.96249825
1	2	3	49.977949
1	2	4	50.01572838
1	2	5	50.03874298
1	2	6	50.0437248
1	2	7	50.03528152
1	2	8	50.00893232
1	2	9	49.96181456
1	2	10	49.89566524
1	2	11	49.811719
1	2	12	49.71024158
1	2	13	49.60079357
1	2	14	49.50027815
1	2	15	49.42129718
1	2	16	49.37087113
1	2	17	49.352147
1	2	18	49.36569499
1	2	19	49.41042094
1	2	20	49.48408169
1	2	21	49.58341055
1	2	22	49.70383486
1	2	23	49.83847192
1	2	24	49.9756875
1	2	25	50.09754604
1	2	26	50.19513003
1	2	27	50.28629991
1	2	28	50.39934016
1	2	29	50.54007629
1	2	30	50.66327782
1	2	31	50.73319933
1	2	32	50.75134846
1	2	33	50.72579843
1	2	34	50.66243057
1	2	35	50.56657137
1	2	36	50.44496696
1	2	37	50.30830094
1	2	38	50.17509022
1	2	39	50.06779523
1	2	40	49.99078071
1	2	41	49.93611477
1	2	42	49.89816579
1	2	43	49.86549855
1	2	44	49.81648351
1	2	45	49.75539708
1	2	46	49.71470195
1	2	47	49.71048033
1	2	48	49.73089004
1	2	49	49.73692157
1	2	50	49.71676672
1	2	51	49.71023269
1	2	52	49.74240994
1	2	53	49.8087187
1	2	54	49.88021041
1	2	55	49.93537159
1	2	56	49.99083529
1	2	57	50.06115301
1	2	58	50.14466456
1	2	59	50.22805166
1	2	60	50.29134505
1	2	61	50.33020317
1	2	62	50.35523381
1	2	63	50.37135965
1	2	64	50.37582891
1	2	65	50.36018756
1	2	66	50.32326422
1	2	67	50.27749404
1	2	68	50.23118387
1	2	69	50.17850621
1	2	70	50.09764369
1	2	71	49.99019915
1	2	72	49.89607987
1	2	73	49.84173202
1	2	74	49.82412241
1	2	75	49.80785575
1	2	76	49.77699766
1	2	77	49.77789247
1	2	78	49.83549666
1	2	79	49.90868911
1	2	80	49.84450071
1	3	1	51.1134703
1	3	2	50.91137793
1	3	3	50.83613015
1	3	4	50.79410318
1	3	5	50.74530076
1	3	6	50.68092765
1	3	7	50.60176524
1	3	8	50.50506946
1	3	9	50.38960112
1	3	10	50.25777593
1	3	11	50.11113693
1	3	12	49.94923371
1	3	13	49.78339132
1	3	14	49.63411334
1	3	15	49.51578198
1	3	16	49.43576745
1	3	17	49.39659828
1	3	18	49.39787639
1	3	19	49.43771714
1	3	20	49.51343267
1	3	21	49.62160949
1	3	22	49.75776254
1	3	23	49.91537408
1	3	24	50.08406919
1	3	25	50.25048074
1	3	26	50.40861167
1	3	27	50.567201
1	3	28	50.73459234
1	3	29	50.88670882
1	3	30	50.96689519
1	3	31	50.96912389
1	3	32	50.91990533
1	3	33	50.83089662
1	3	34	50.70569714
1	3	35	50.5470909
1	3	36	50.35987593
1	3	37	50.15366637
1	3	38	49.94703097
1	3	39	49.76338046
1	3	40	49.60771137
1	3	41	49.47226757
1	3	42	49.35176558
1	3	43	49.2378035
1	3	44	49.11865215
1	3	45	49.00009246
1	3	46	48.90544587
1	3	47	48.84814668
1	3	48	48.82016954
1	3	49	48.79730691
1	3	50	48.77315736
1	3	51	48.77144589
1	3	52	48.8096266
1	3	53	48.88300714
1	3	54	48.96883039
1	3	55	49.05009814
1	3	56	49.13395763
1	3	57	49.228803
1	3	58	49.33144405
1	3	59	49.42807762
1	3	60	49.49923426
1	3	61	49.53971676
1	3	62	49.55813989
1	3	63	49.5585701
1	3	64	49.53793115
1	3	65	49.48784797
1	3	66	49.40714244
1	3	67	49.30773633
1	3	68	49.19780587
1	3	69	49.07305413
1	3	70	48.91828809
1	3	71	48.73812943
1	3	72	48.56655651
1	3	73	48.42771386
1	3	74	48.32072527
1	3	75	48.22340482
1	3	76	48.12984202
1	3	77	48.07157848
1	3	78	48.06177543
1	3	79	48.05454776
1	3	80	47.91928424
1	4	1	52.39511487
1	4	2	52.09787386
1	4	3	51.90440211
1	4	4	51.75185199
1	4	5	51.60369095
1	4	6	51.44548686
1	4	7	51.2730443
1	4	8	51.08450319
1	4	9	50.88015464
1	4	10	50.66272956
1	4	11	50.43503529
1	4	12	50.20056141
1	4	13	49.97193975
1	4	14	49.7690412
1	4	15	49.60776147
1	4	16	49.49613273
1	4	17	49.43551878
1	4	18	49.42391804
1	4	19	49.45838135
1	4	20	49.53575508
1	4	21	49.65255955
1	4	22	49.80453323
1	4	23	49.98588557
1	4	24	50.18759862
1	4	25	50.39803943
1	4	26	50.60915649
1	4	27	50.81795995
1	4	28	51.01530719
1	4	29	51.16595438
1	4	30	51.2208255
1	4	31	51.18317847
1	4	32	51.08488205
1	4	33	50.9419121
1	4	34	50.7595193
1	4	35	50.54032409
1	4	36	50.28823305
1	4	37	50.01205908
1	4	38	49.72833209
1	4	39	49.455951
1	4	40	49.2027389
1	4	41	48.96680583
1	4	42	48.74514195
1	4	43	48.53393435
1	4	44	48.33071729
1	4	45	48.14222696
1	4	46	47.98312131
1	4	47	47.86352239
1	4	48	47.78152068
1	4	49	47.72755528
1	4	50	47.69927203
1	4	51	47.70601061
1	4	52	47.7548649
1	4	53	47.84067313
1	4	54	47.94827354
1	4	55	48.06472978
1	4	56	48.18711975
1	4	57	48.31464153
1	4	58	48.44086252
1	4	59	48.55285825
1	4	60	48.63594235
1	4	61	48.6838038
1	4	62	48.69853885
1	4	63	48.68147136
1	4	64	48.62980544
1	4	65	48.53855852
1	4	66	48.40772335
1	4	67	48.24461488
1	4	68	48.05537633
1	4	69	47.83961587
1	4	70	47.59435347
1	4	71	47.32859187
1	4	72	47.06527061
1	4	73	46.82237359
1	4	74	46.60248337
1	4	75	46.39936727
1	4	76	46.21747056
1	4	77	46.07359644
1	4	78	45.96398084
1	4	79	45.84063237
1	4	80	45.61605013
1	5	1	53.79106074
1	5	2	53.41528133
1	5	3	53.11019223
1	5	4	52.84019964
1	5	5	52.5786381
1	5	6	52.31072434
1	5	7	52.03000423
1	5	8	51.73467977
1	5	9	51.42615578
1	5	10	51.10822882
1	5	11	50.78612205
1	5	12	50.46761967
1	5	13	50.16667498
1	5	14	49.90281863
1	5	15	49.69418503
1	5	16	49.54926574
1	5	17	49.46658526
1	5	18	49.44152785
1	5	19	49.46992746
1	5	20	49.54830119
1	5	21	49.67341292
1	5	22	49.84161193
1	5	23	50.047759
1	5	24	50.28294388
1	5	25	50.53402069
1	5	26	50.78764557
1	5	27	51.0298519
1	5	28	51.23906504
1	5	29	51.38044691
1	5	30	51.42223746
1	5	31	51.36633673
1	5	32	51.2363563
