ILYR	IROW	ICOL	SHEAD
1	1	1 	69.46243663
1	1	2 	69.35178801
1	1	3 	69.38278928
1	1	4 	69.44738915
1	1	5 	69.50613121
1	1	6 	69.55199745
1	1	7 	69.58625547
1	1	8 	69.60463722
1	1	9 	69.60370542
1	1	10 	69.58372061
1	1	11 	69.54586169
1	1	12 	69.49246978
1	1	13 	69.43111394
1	1	14 	69.37344479
1	1	15 	69.32954839
1	1	16 	69.30593521
1	1	17 	69.30603109
1	1	18 	69.33095435
1	1	19 	69.38011549
1	1	20 	69.45157431
1	1	21 	69.54212021
1	1	22 	69.64699075
1	1	23 	69.75890761
1	1	24 	69.86563734
1	1	25 	69.94795492
1	1	26 	69.99512208
1	1	27 	70.02590677
1	1	28 	70.08474378
1	1	29 	70.21744155
1	1	30 	70.38518027
1	1	31 	70.52073037
1	1	32 	70.60467762
1	1	33 	70.64109748
1	1	34 	70.63784674
1	1	35 	70.60283869
1	1	36 	70.54485487
1	1	37 	70.47544641
1	1	38 	70.4105323
1	1	39 	70.36606089
1	1	40 	70.34710328
1	1	41 	70.34976606
1	1	42 	70.36814723
1	1	43 	70.38985225
1	1	44 	70.39502926
1	1	45 	70.38669514
1	1	46 	70.39209638
1	1	47 	70.42493789
1	1	48 	70.47314958
1	1	49 	70.50125692
1	1	50 	70.49899795
1	1	51 	70.50183057
1	1	52 	70.53371979
1	1	53 	70.59157483
1	1	54 	70.6518073
1	1	55 	70.69782873
1	1	56 	70.74281555
1	1	57 	70.80006462
1	1	58 	70.86932097
1	1	59 	70.94047539
1	1	60 	71.00004023
1	1	61 	71.04435041
1	1	62 	71.07944797
1	1	63 	71.10917207
1	1	64 	71.1319211
1	1	65 	71.14299543
1	1	66 	71.14251555
1	1	67 	71.13806544
1	1	68 	71.13470878
1	1	69 	71.12684508
1	1	70 	71.09975381
1	1	71 	71.05628696
1	1	72 	71.02485958
1	1	73 	71.02608124
1	1	74 	71.05581272
1	1	75 	71.08413527
1	1	76 	71.0978599
1	1	77 	71.13031129
1	1	78 	71.19801093
1	1	79 	71.25638069
1	1	80 	71.16034202
1	2	1 	70.08049761
1	2	2 	69.96249825
1	2	3 	69.977949
1	2	4 	70.01572838
1	2	5 	70.03874298
1	2	6 	70.0437248
1	2	7 	70.03528152
1	2	8 	70.00893232
1	2	9 	69.96181456
1	2	10 	69.89566524
1	2	11 	69.811719
1	2	12 	69.71024158
1	2	13 	69.60079357
1	2	14 	69.50027815
1	2	15 	69.42129718
1	2	16 	69.37087113
1	2	17 	69.352147
1	2	18 	69.36569499
1	2	19 	69.41042094
1	2	20 	69.48408169
1	2	21 	69.58341055
1	2	22 	69.70383486
1	2	23 	69.83847192
1	2	24 	69.9756875
1	2	25 	70.09754604
1	2	26 	70.19513003
1	2	27 	70.28629991
1	2	28 	70.39934016
1	2	29 	70.54007629
1	2	30 	70.66327782
1	2	31 	70.73319933
1	2	32 	70.75134846
1	2	33 	70.72579843
1	2	34 	70.66243057
1	2	35 	70.56657137
1	2	36 	70.44496696
1	2	37 	70.30830094
1	2	38 	70.17509022
1	2	39 	70.06779523
1	2	40 	69.99078071
1	2	41 	69.93611477
1	2	42 	69.89816579
1	2	43 	69.86549855
1	2	44 	69.81648351
1	2	45 	69.75539708
1	2	46 	69.71470195
1	2	47 	69.71048033
1	2	48 	69.73089004
1	2	49 	69.73692157
1	2	50 	69.71676672
1	2	51 	69.71023269
1	2	52 	69.74240994
1	2	53 	69.8087187
1	2	54 	69.88021041
1	2	55 	69.93537159
1	2	56 	69.99083529
1	2	57 	70.06115301
1	2	58 	70.14466456
1	2	59 	70.22805166
1	2	60 	70.29134505
1	2	61 	70.33020317
1	2	62 	70.35523381
1	2	63 	70.37135965
1	2	64 	70.37582891
1	2	65 	70.36018756
1	2	66 	70.32326422
1	2	67 	70.27749404
1	2	68 	70.23118387
1	2	69 	70.17850621
1	2	70 	70.09764369
1	2	71 	69.99019915
1	2	72 	69.89607987
1	2	73 	69.84173202
1	2	74 	69.82412241
1	2	75 	69.80785575
1	2	76 	69.77699766
1	2	77 	69.77789247
1	2	78 	69.83549666
1	2	79 	69.90868911
1	2	80 	69.84450071
1	3	1 	71.1134703
1	3	2 	70.91137793
1	3	3 	70.83613015
1	3	4 	70.79410318
1	3	5 	70.74530076
1	3	6 	70.68092765
1	3	7 	70.60176524
1	3	8 	70.50506946
1	3	9 	70.38960112
1	3	10 	70.25777593
1	3	11 	70.11113693
1	3	12 	69.94923371
1	3	13 	69.78339132
1	3	14 	69.63411334
1	3	15 	69.51578198
1	3	16 	69.43576745
1	3	17 	69.39659828
1	3	18 	69.39787639
1	3	19 	69.43771714
1	3	20 	69.51343267
1	3	21 	69.62160949
1	3	22 	69.75776254
1	3	23 	69.91537408
1	3	24 	70.08406919
1	3	25 	70.25048074
1	3	26 	70.40861167
1	3	27 	70.567201
1	3	28 	70.73459234
1	3	29 	70.88670882
1	3	30 	70.96689519
1	3	31 	70.96912389
1	3	32 	70.91990533
1	3	33 	70.83089662
1	3	34 	70.70569714
1	3	35 	70.5470909
1	3	36 	70.35987593
1	3	37 	70.15366637
1	3	38 	69.94703097
1	3	39 	69.76338046
1	3	40 	69.60771137
1	3	41 	69.47226757
1	3	42 	69.35176558
1	3	43 	69.2378035
1	3	44 	69.11865215
1	3	45 	69.00009246
1	3	46 	68.90544587
1	3	47 	68.84814668
1	3	48 	68.82016954
1	3	49 	68.79730691
1	3	50 	68.77315736
1	3	51 	68.77144589
1	3	52 	68.8096266
1	3	53 	68.88300714
1	3	54 	68.96883039
1	3	55 	69.05009814
1	3	56 	69.13395763
1	3	57 	69.228803
1	3	58 	69.33144405
1	3	59 	69.42807762
1	3	60 	69.49923426
1	3	61 	69.53971676
1	3	62 	69.55813989
1	3	63 	69.5585701
1	3	64 	69.53793115
1	3	65 	69.48784797
1	3	66 	69.40714244
1	3	67 	69.30773633
1	3	68 	69.19780587
1	3	69 	69.07305413
1	3	70 	68.91828809
1	3	71 	68.73812943
1	3	72 	68.56655651
1	3	73 	68.42771386
1	3	74 	68.32072527
1	3	75 	68.22340482
1	3	76 	68.12984202
1	3	77 	68.07157848
1	3	78 	68.06177543
1	3	79 	68.05454776
1	3	80 	67.91928424
1	4	1 	72.39511487
1	4	2 	72.09787386
1	4	3 	71.90440211
1	4	4 	71.75185199
1	4	5 	71.60369095
1	4	6 	71.44548686
1	4	7 	71.2730443
1	4	8 	71.08450319
1	4	9 	70.88015464
1	4	10 	70.66272956
1	4	11 	70.43503529
1	4	12 	70.20056141
1	4	13 	69.97193975
1	4	14 	69.7690412
1	4	15 	69.60776147
1	4	16 	69.49613273
1	4	17 	69.43551878
1	4	18 	69.42391804
1	4	19 	69.45838135
1	4	20 	69.53575508
1	4	21 	69.65255955
1	4	22 	69.80453323
1	4	23 	69.98588557
1	4	24 	70.18759862
1	4	25 	70.39803943
1	4	26 	70.60915649
1	4	27 	70.81795995
1	4	28 	71.01530719
1	4	29 	71.16595438
1	4	30 	71.2208255
1	4	31 	71.18317847
1	4	32 	71.08488205
1	4	33 	70.9419121
1	4	34 	70.7595193
1	4	35 	70.54032409
1	4	36 	70.28823305
1	4	37 	70.01205908
1	4	38 	69.72833209
1	4	39 	69.455951
1	4	40 	69.2027389
1	4	41 	68.96680583
1	4	42 	68.74514195
1	4	43 	68.53393435
1	4	44 	68.33071729
1	4	45 	68.14222696
1	4	46 	67.98312131
1	4	47 	67.86352239
1	4	48 	67.78152068
1	4	49 	67.72755528
1	4	50 	67.69927203
1	4	51 	67.70601061
1	4	52 	67.7548649
1	4	53 	67.84067313
1	4	54 	67.94827354
1	4	55 	68.06472978
1	4	56 	68.18711975
1	4	57 	68.31464153
1	4	58 	68.44086252
1	4	59 	68.55285825
1	4	60 	68.63594235
1	4	61 	68.6838038
1	4	62 	68.69853885
1	4	63 	68.68147136
1	4	64 	68.62980544
1	4	65 	68.53855852
1	4	66 	68.40772335
1	4	67 	68.24461488
1	4	68 	68.05537633
1	4	69 	67.83961587
1	4	70 	67.59435347
1	4	71 	67.32859187
1	4	72 	67.06527061
1	4	73 	66.82237359
1	4	74 	66.60248337
1	4	75 	66.39936727
1	4	76 	66.21747056
1	4	77 	66.07359644
1	4	78 	65.96398084
1	4	79 	65.84063237
1	4	80 	65.61605013
1	5	1 	73.79106074
1	5	2 	73.41528133
1	5	3 	73.11019223
1	5	4 	72.84019964
1	5	5 	72.5786381
1	5	6 	72.31072434
1	5	7 	72.03000423
1	5	8 	71.73467977
1	5	9 	71.42615578
1	5	10 	71.10822882
1	5	11 	70.78612205
1	5	12 	70.46761967
1	5	13 	70.16667498
1	5	14 	69.90281863
1	5	15 	69.69418503
1	5	16 	69.54926574
1	5	17 	69.46658526
1	5	18 	69.44152785
1	5	19 	69.46992746
1	5	20 	69.54830119
1	5	21 	69.67341292
1	5	22 	69.84161193
1	5	23 	70.047759
1	5	24 	70.28294388
1	5	25 	70.53402069
1	5	26 	70.78764557
1	5	27 	71.0298519
1	5	28 	71.23906504
1	5	29 	71.38044691
1	5	30 	71.42223746
1	5	31 	71.36633673
1	5	32 	71.2363563
1	5	33 	71.0503818
1	5	34 	70.81719634
1	5	35 	70.54076931
1	5	36 	70.22411352
1	5	37 	69.8741794
1	5	38 	69.50568422
1	5	39 	69.135776
1	5	40 	68.77530597
1	5	41 	68.42825578
1	5	42 	68.09588177
1	5	43 	67.77914301
1	5	44 	67.48101655
1	5	45 	67.20924502
1	5	46 	66.97521816
1	5	47 	66.78856381
1	5	48 	66.65298303
1	5	49 	66.56733469
1	5	50 	66.53070073
1	5	51 	66.5443841
1	5	52 	66.60784822
1	5	53 	66.71453694
1	5	54 	66.85244801
1	5	55 	67.00898205
1	5	56 	67.1744339
1	5	57 	67.34027773
1	5	58 	67.49617168
1	5	59 	67.62950848
1	5	60 	67.72818908
1	5	61 	67.78471113
1	5	62 	67.79627534
1	5	63 	67.76116754
1	5	64 	67.67669849
1	5	65 	67.5402998
1	5	66 	67.35254301
1	5	67 	67.11780455
1	5	68 	66.84110348
1	5	69 	66.52621122
1	5	70 	66.17864827
