 RESID  PNTID  PNDHLEV  PNDVOL  PNDAREA
 1          1          6.0000            0.0000            0.0000           
 1          2          6.7500            90000.0000        120000.0000      
 1          3          7.5000            215000.0000       190000.0000      
 1          4          8.2500            375000.0000       260000.0000      
 1          5          9.0000            570000.0000       260000.0000      
 1          6          9.7500            817500.0000       330000.0000      
 1          7          10.5000           1135000.0000      470000.0000      
 1          8          11.2500           1487500.0000      470000.0000      
 1          9          12.0000           1840000.0000      470000.0000      
 1          10         12.7500           2192500.0000      470000.0000      
 1          11         13.5000           2545000.0000      470000.0000      
 1          12         14.2500           2897500.0000      470000.0000      
 1          13         15.0000           3250000.0000      470000.0000      
 1          14         15.7500           3602500.0000      470000.0000      
 1          15         16.5000           3955000.0000      470000.0000      
 1          16         17.2500           4307500.0000      470000.0000      
 1          17         18.0000           4660000.0000      470000.0000      
 1          18         18.7500           5012500.0000      470000.0000      
 1          19         19.5000           5365000.0000      470000.0000      
 1          20         20.2500           5717500.0000      470000.0000      
 1          21         21.0000           6070000.0000      470000.0000      
