ILYR	IROW	ICOL	BTM	BVK	BTK
1	4	9	10	1	2
1	3	5	6	1	2
1	6	5	6	1	2
1	6	4	6	1	2
1	5	10	10	1	2
1	5	9	10	1	2
1	5	8	9	1	2
1	5	7	8	1	2
1	5	6	7	1	2
1	5	5	6	1	2
1	6	7	8	1	2
1	4	10	10	1	2
1	6	8	9	1	2
1	4	8	9	1	2
1	4	7	8	1	2
1	4	6	7	1	2
1	4	5	6	1	2
1	4	4	6	1	2
1	3	10	10	1	2
1	3	9	10	1	2
1	3	8	9	1	2
1	3	7	8	1	2
1	3	6	7	1	2
1	5	4	6	1	2
1	8	4	6	1	2
1	9	9	10	1	2
1	9	8	9	1	2
1	9	7	8	1	2
1	9	6	7	1	2
1	9	5	6	1	2
1	8	10	10	1	2
1	8	9	10	1	2
1	8	8	9	1	2
1	8	7	8	1	2
1	6	6	7	1	2
1	8	5	6	1	2
1	9	10	10	1	2
1	7	10	10	1	2
1	7	9	10	1	2
1	7	8	9	1	2
1	7	7	8	1	2
1	7	6	7	1	2
1	7	5	6	1	2
1	7	4	6	1	2
1	6	11	21	1	2
1	6	10	10	1	2
1	6	9	10	1	2
1	8	6	7	1	2
