ILYR  IROW  ICOL  DELEV  COND  SEGMID
1  8  11  5.375  2500  8
1  8  18  3.625  2500  9
1  8  5  6.875  2500  7
1  8  6  6.625  2500  7
1  8  7  6.375  2500  7
1  8  8  6.125  2500  7
1  8  3  7.375  2500  7
1  8  10  5.625  2500  8
1  7  18  3.625  2500  9
1  8  12  5.125  2500  8
1  8  13  4.875  2500  8
1  8  14  4.625  2500  9
1  8  15  4.375  2500  9
1  8  16  4.125  2500  9
1  7  3  7.375  2500  7
1  8  9  5.875  2500  8
1  7  11  5.375  2500  8
1  10  18  3.625  2500  9
1  7  5  6.875  2500  7
1  7  6  6.625  2500  7
1  7  7  6.375  2500  7
1  7  8  6.125  2500  7
1  8  4  7.125  2500  7
1  7  10  5.625  2500  8
1  9  3  7.375  2500  7
1  7  12  5.125  2500  8
1  7  13  4.875  2500  8
1  7  14  4.625  2500  9
1  7  15  4.375  2500  9
1  7  16  4.125  2500  9
1  7  17  3.875  2500  9
1  7  9  5.875  2500  8
1  10  11  5.375  2500  8
1  8  17  3.875  2500  9
1  10  5  6.875  2500  7
1  10  6  6.625  2500  7
1  10  7  6.375  2500  7
1  10  8  6.125  2500  7
1  10  3  7.375  2500  7
1  10  10  5.625  2500  8
1  9  18  3.625  2500  9
1  10  12  5.125  2500  8
1  10  13  4.875  2500  8
1  10  14  4.625  2500  9
1  10  15  4.375  2500  9
1  10  16  4.125  2500  9
1  3  3  7.375  2500  7
1  10  9  5.875  2500  8
1  9  11  5.375  2500  8
1  9  4  7.125  2500  7
1  9  5  6.875  2500  7
1  9  6  6.625  2500  7
1  9  7  6.375  2500  7
1  9  8  6.125  2500  7
1  10  4  7.125  2500  7
1  9  10  5.625  2500  8
1  6  18  3.625  2500  9
1  9  12  5.125  2500  8
1  9  13  4.875  2500  8
1  9  14  4.625  2500  9
1  9  15  4.375  2500  9
1  9  16  4.125  2500  9
1  9  17  3.875  2500  9
1  9  9  5.875  2500  8
1  4  11  5.375  2500  8
1  4  18  3.625  2500  9
1  4  5  6.875  2500  7
1  4  6  6.625  2500  7
1  4  7  6.375  2500  7
1  4  8  6.125  2500  7
1  4  3  7.375  2500  7
1  4  10  5.625  2500  8
1  3  18  3.625  2500  9
1  4  12  5.125  2500  8
1  4  13  4.875  2500  8
1  4  14  4.625  2500  9
1  4  15  4.375  2500  9
1  4  16  4.125  2500  9
1  7  4  7.125  2500  7
1  4  9  5.875  2500  8
1  3  11  5.375  2500  8
1  3  4  7.125  2500  7
1  3  5  6.875  2500  7
1  3  6  6.625  2500  7
1  3  7  6.375  2500  7
1  3  8  6.125  2500  7
1  4  4  7.125  2500  7
1  3  10  5.625  2500  8
1  5  3  7.375  2500  7
1  3  12  5.125  2500  8
1  3  13  4.875  2500  8
1  3  14  4.625  2500  9
1  3  15  4.375  2500  9
1  3  16  4.125  2500  9
