IROW	ICOL	CELLTOP
1	1	9.875
1	2	9.625
1	3	9.375
1	4	9.125
1	5	8.875
1	6	8.625
1	7	8.375
1	8	8.125
1	9	7.875
1	10	7.625
1	11	7.375
1	12	7.125
1	13	6.875
1	14	6.625
1	15	6.375
1	16	6.125
1	17	5.875
1	18	5.625
1	19	5.375
1	20	5.125
2	1	9.875
2	2	9.625
2	3	9.375
2	4	9.125
2	5	8.875
2	6	8.625
2	7	8.375
2	8	8.125
2	9	7.875
2	10	7.625
2	11	7.375
2	12	7.125
2	13	6.875
2	14	6.625
2	15	6.375
2	16	6.125
2	17	5.875
2	18	5.625
2	19	5.375
2	20	5.125
3	1	9.875
3	2	9.625
3	3	9.375
3	4	9.125
3	5	8.875
3	6	8.625
3	7	8.375
3	8	8.125
3	9	7.875
3	10	7.625
3	11	7.375
3	12	7.125
3	13	6.875
3	14	6.625
3	15	6.375
3	16	6.125
3	17	5.875
3	18	5.625
3	19	5.375
3	20	5.125
4	1	9.875
4	2	9.625
4	3	9.375
4	4	9.125
4	5	8.875
4	6	8.625
4	7	8.375
4	8	8.125
4	9	7.875
4	10	7.625
4	11	7.375
4	12	7.125
4	13	6.875
4	14	6.625
4	15	6.375
4	16	6.125
4	17	5.875
4	18	5.625
4	19	5.375
4	20	5.125
5	1	9.875
5	2	9.625
5	3	9.375
5	4	9.125
5	5	8.875
5	6	8.625
5	7	8.375
5	8	8.125
5	9	7.875
5	10	7.625
5	11	7.375
5	12	7.125
5	13	6.875
5	14	6.625
5	15	6.375
5	16	6.125
5	17	5.875
5	18	5.625
5	19	5.375
5	20	5.125
6	1	9.875
6	2	9.625
6	3	9.375
6	4	9.125
6	5	8.875
6	6	8.625
6	7	8.375
6	8	8.125
6	9	7.875
6	10	7.625
6	11	7.375
6	12	7.125
6	13	6.875
6	14	6.625
6	15	6.375
6	16	6.125
6	17	5.875
6	18	5.625
6	19	5.375
6	20	5.125
7	1	9.875
7	2	9.625
7	3	9.375
7	4	9.125
7	5	8.875
7	6	8.625
7	7	8.375
7	8	8.125
7	9	7.875
7	10	7.625
7	11	7.375
7	12	7.125
7	13	6.875
7	14	6.625
7	15	6.375
7	16	6.125
7	17	5.875
7	18	5.625
7	19	5.375
7	20	5.125
8	1	9.875
8	2	9.625
8	3	9.375
8	4	9.125
8	5	8.875
8	6	8.625
8	7	8.375
8	8	8.125
8	9	7.875
8	10	7.625
8	11	7.375
8	12	7.125
8	13	6.875
8	14	6.625
8	15	6.375
8	16	6.125
8	17	5.875
8	18	5.625
8	19	5.375
8	20	5.125
9	1	9.875
9	2	9.625
9	3	9.375
9	4	9.125
9	5	8.875
9	6	8.625
9	7	8.375
9	8	8.125
9	9	7.875
9	10	7.625
9	11	7.375
9	12	7.125
9	13	6.875
9	14	6.625
9	15	6.375
9	16	6.125
9	17	5.875
9	18	5.625
9	19	5.375
9	20	5.125
10	1	9.875
10	2	9.625
10	3	9.375
10	4	9.125
10	5	8.875
10	6	8.625
10	7	8.375
10	8	8.125
10	9	7.875
10	10	7.625
10	11	7.375
10	12	7.125
10	13	6.875
10	14	6.625
10	15	6.375
10	16	6.125
10	17	5.875
10	18	5.625
10	19	5.375
10	20	5.125
11	1	9.875
11	2	9.625
11	3	9.375
11	4	9.125
11	5	8.875
11	6	8.625
11	7	8.375
11	8	8.125
11	9	7.875
11	10	7.625
11	11	7.375
11	12	7.125
11	13	6.875
11	14	6.625
11	15	6.375
11	16	6.125
11	17	5.875
11	18	5.625
11	19	5.375
11	20	5.125
12	1	9.875
12	2	9.625
12	3	9.375
12	4	9.125
12	5	8.875
12	6	8.625
12	7	8.375
12	8	8.125
12	9	7.875
12	10	7.625
12	11	7.375
12	12	7.125
12	13	6.875
12	14	6.625
12	15	6.375
12	16	6.125
12	17	5.875
12	18	5.625
12	19	5.375
12	20	5.125
13	1	9.875
13	2	9.625
13	3	9.375
13	4	9.125
13	5	8.875
13	6	8.625
13	7	8.375
13	8	8.125
13	9	7.875
13	10	7.625
13	11	7.375
13	12	7.125
13	13	6.875
13	14	6.625
13	15	6.375
13	16	6.125
13	17	5.875
13	18	5.625
13	19	5.375
13	20	5.125
14	1	9.875
14	2	9.625
14	3	9.375
14	4	9.125
14	5	8.875
14	6	8.625
14	7	8.375
14	8	8.125
14	9	7.875
14	10	7.625
14	11	7.375
14	12	7.125
14	13	6.875
14	14	6.625
14	15	6.375
14	16	6.125
14	17	5.875
14	18	5.625
14	19	5.375
14	20	5.125
15	1	9.875
15	2	9.625
15	3	9.375
15	4	9.125
15	5	8.875
15	6	8.625
15	7	8.375
15	8	8.125
15	9	7.875
15	10	7.625
15	11	7.375
15	12	7.125
15	13	6.875
15	14	6.625
15	15	6.375
15	16	6.125
15	17	5.875
15	18	5.625
15	19	5.375
15	20	5.125
16	1	9.875
16	2	9.625
16	3	9.375
16	4	9.125
16	5	8.875
16	6	8.625
16	7	8.375
16	8	8.125
16	9	7.875
16	10	7.625
16	11	7.375
16	12	7.125
16	13	6.875
16	14	6.625
16	15	6.375
16	16	6.125
16	17	5.875
16	18	5.625
16	19	5.375
16	20	5.125
17	1	9.875
17	2	9.625
17	3	9.375
17	4	9.125
17	5	8.875
17	6	8.625
17	7	8.375
17	8	8.125
17	9	7.875
17	10	7.625
17	11	7.375
17	12	7.125
17	13	6.875
17	14	6.625
17	15	6.375
17	16	6.125
17	17	5.875
17	18	5.625
17	19	5.375
17	20	5.125
18	1	9.875
18	2	9.625
18	3	9.375
18	4	9.125
18	5	8.875
18	6	8.625
18	7	8.375
18	8	8.125
18	9	7.875
18	10	7.625
18	11	7.375
18	12	7.125
18	13	6.875
18	14	6.625
18	15	6.375
18	16	6.125
18	17	5.875
18	18	5.625
18	19	5.375
18	20	5.125
19	1	9.875
19	2	9.625
19	3	9.375
19	4	9.125
19	5	8.875
19	6	8.625
19	7	8.375
19	8	8.125
19	9	7.875
19	10	7.625
19	11	7.375
19	12	7.125
19	13	6.875
19	14	6.625
19	15	6.375
19	16	6.125
19	17	5.875
19	18	5.625
19	19	5.375
19	20	5.125
20	1	9.875
20	2	9.625
20	3	9.375
20	4	9.125
20	5	8.875
20	6	8.625
20	7	8.375
20	8	8.125
20	9	7.875
20	10	7.625
20	11	7.375
20	12	7.125
20	13	6.875
20	14	6.625
20	15	6.375
20	16	6.125
20	17	5.875
20	18	5.625
20	19	5.375
20	20	5.125
