IROW	ICOL	ETSURF
3	14	149.0196075
3	15	148.6274567
3	16	148.2352905
3	17	147.2548981
3	18	145.6862793
3	19	144.1176453
3	20	142.5490265
3	21	140.9803925
3	22	140
4	1	160
4	2	159.0196075
4	3	157.4509735
4	4	155.8823547
4	5	154.3137207
4	6	152.7451019
4	7	151.7647095
4	8	151.3725433
4	9	150.9803925
4	10	150.5882416
4	11	150.1960754
4	12	149.8039246
4	13	149.4117584
4	14	149.0196075
4	15	148.6274567
4	16	148.2352905
4	17	147.2548981
4	18	145.6862793
4	19	144.1176453
4	20	142.5490265
4	21	140.9803925
4	22	140
5	1	160
5	2	159.0196075
5	3	157.4509735
5	4	155.8823547
5	5	154.3137207
5	6	152.7451019
5	7	151.7647095
5	8	151.3725433
5	9	150.9803925
5	10	150.5882416
5	11	150.1960754
5	12	149.8039246
5	13	149.4117584
5	14	149.0196075
5	15	148.6274567
5	16	148.2352905
5	17	147.2548981
5	18	145.6862793
5	19	144.1176453
5	20	142.5490265
5	21	140.9803925
5	22	140
6	1	160
6	2	159.0196075
6	3	157.4509735
6	4	155.8823547
6	5	154.3137207
6	6	152.7451019
6	7	151.7647095
6	8	151.3725433
6	9	150.9803925
6	10	150.5882416
6	11	150.1960754
6	12	149.8039246
6	13	149.4117584
6	14	149.0196075
6	15	148.6274567
6	16	148.2352905
6	17	147.2548981
6	18	145.6862793
6	19	144.1176453
6	20	142.5490265
6	21	140.9803925
6	22	140
7	1	160
7	2	159.0196075
7	3	157.4509735
7	4	155.8823547
7	5	154.3137207
7	6	152.7451019
7	17	147.2548981
7	18	145.6862793
7	19	144.1176453
7	20	142.5490265
7	21	140.9803925
7	22	140
8	1	160
8	2	159.0196075
8	3	157.4509735
8	4	155.8823547
8	5	154.3137207
8	6	152.7451019
8	17	147.2548981
8	18	145.6862793
8	19	144.1176453
8	20	142.5490265
8	21	140.9803925
8	22	140
9	1	160
9	2	159.0196075
9	3	157.4509735
9	4	155.8823547
9	5	154.3137207
9	6	152.7451019
9	17	147.2548981
9	18	145.6862793
9	19	144.1176453
9	20	142.5490265
9	21	140.9803925
9	22	140
10	1	160
10	2	159.0196075
10	3	157.4509735
10	4	155.8823547
10	5	154.3137207
10	6	152.7451019
10	17	147.2548981
10	18	145.6862793
10	19	144.1176453
10	20	142.5490265
10	21	140.9803925
10	22	140
11	1	160
11	2	159.0196075
11	3	157.4509735
11	4	155.8823547
11	5	154.3137207
11	6	152.7451019
11	17	147.2548981
11	18	145.6862793
11	19	144.1176453
11	20	142.5490265
11	21	140.9803925
11	22	140
12	1	160
12	2	159.0196075
12	3	157.4509735
12	4	155.8823547
12	5	154.3137207
12	6	152.7451019
12	17	147.2548981
12	18	145.6862793
12	19	144.1176453
12	20	142.5490265
12	21	140.9803925
12	22	140
13	1	160
13	2	159.0196075
13	3	157.4509735
13	4	155.8823547
13	5	154.3137207
13	6	152.7451019
13	17	147.2548981
13	18	145.6862793
13	19	144.1176453
13	20	142.5490265
13	21	140.9803925
13	22	140
14	1	160
14	2	159.0196075
14	3	157.4509735
14	4	155.8823547
14	5	154.3137207
14	6	152.7451019
14	17	147.2548981
14	18	145.6862793
14	19	144.1176453
14	20	142.5490265
14	21	140.9803925
14	22	140
15	1	160
15	2	159.0196075
15	3	157.4509735
15	4	155.8823547
15	5	154.3137207
15	6	152.7451019
15	17	147.2548981
15	18	145.6862793
15	19	144.1176453
15	20	142.5490265
15	21	140.9803925
15	22	140
16	1	160
16	2	159.0196075
16	3	157.4509735
16	4	155.8823547
16	5	154.3137207
16	6	152.7451019
16	17	147.2548981
16	18	145.6862793
16	19	144.1176453
16	20	142.5490265
16	21	140.9803925
16	22	140
17	1	160
17	2	159.0196075
17	3	157.4509735
17	4	155.8823547
17	5	154.3137207
17	6	152.7451019
17	7	151.7647095
17	8	151.3725433
17	9	150.9803925
17	10	150.5882416
17	11	150.1960754
17	12	149.8039246
17	13	149.4117584
17	14	149.0196075
17	15	148.6274567
17	16	148.2352905
17	17	147.2548981
17	18	145.6862793
17	19	144.1176453
17	20	142.5490265
17	21	140.9803925
17	22	140
18	1	160
18	2	159.0196075
18	3	157.4509735
18	4	155.8823547
18	5	154.3137207
18	6	152.7451019
18	7	151.7647095
18	8	151.3725433
18	9	150.9803925
18	10	150.5882416
18	11	150.1960754
18	12	149.8039246
18	13	149.4117584
18	14	149.0196075
18	15	148.6274567
18	16	148.2352905
18	17	147.2548981
18	18	145.6862793
18	19	144.1176453
18	20	142.5490265
18	21	140.9803925
18	22	140
19	1	160
19	2	159.0196075
19	3	157.4509735
19	4	155.8823547
19	5	154.3137207
19	6	152.7451019
19	7	151.7647095
19	8	151.3725433
19	9	150.9803925
19	10	150.5882416
19	11	150.1960754
19	12	149.8039246
19	13	149.4117584
19	14	149.0196075
19	15	148.6274567
19	16	148.2352905
19	17	147.2548981
19	18	145.6862793
19	19	144.1176453
19	20	142.5490265
19	21	140.9803925
19	22	140
20	1	160
20	2	159.0196075
20	3	157.4509735
20	4	155.8823547
20	5	154.3137207
20	6	152.7451019
20	7	151.7647095
20	8	151.3725433
20	9	150.9803925
20	10	150.5882416
20	11	150.1960754
20	12	149.8039246
20	13	149.4117584
20	14	149.0196075
20	15	148.6274567
20	16	148.2352905
20	17	147.2548981
20	18	145.6862793
20	19	144.1176453
20	20	142.5490265
20	21	140.9803925
20	22	140
21	1	160
21	2	159.0196075
21	3	157.4509735
21	4	155.8823547
21	5	154.3137207
21	6	152.7451019
21	7	151.7647095
21	8	151.3725433
21	9	150.9803925
21	10	150.5882416
21	11	150.1960754
21	12	149.8039246
21	13	149.4117584
21	14	149.0196075
21	15	148.6274567
21	16	148.2352905
21	17	147.2548981
21	18	145.6862793
21	19	144.1176453
21	20	142.5490265
21	21	140.9803925
21	22	140
22	1	160
22	2	159.0196075
22	3	157.4509735
22	4	155.8823547
22	5	154.3137207
22	6	152.7451019
22	7	151.7647095
22	8	151.3725433
22	9	150.9803925
22	10	150.5882416
22	11	150.1960754
22	12	149.8039246
22	13	149.4117584
22	14	149.0196075
22	15	148.6274567
22	16	148.2352905
22	17	147.2548981
22	18	145.6862793
22	19	144.1176453
22	20	142.5490265
22	21	140.9803925
22	22	140
1	1	160
1	2	159.0196075
1	3	157.4509735
1	4	155.8823547
1	5	154.3137207
1	6	152.7451019
1	7	151.7647095
1	8	151.3725433
1	9	150.9803925
1	10	150.5882416
1	11	150.1960754
1	12	149.8039246
1	13	149.4117584
1	14	149.0196075
1	15	148.6274567
1	16	148.2352905
1	17	147.2548981
1	18	145.6862793
1	19	144.1176453
1	20	142.5490265
1	21	140.9803925
1	22	140
2	1	160
2	2	159.0196075
2	3	157.4509735
2	4	155.8823547
2	5	154.3137207
2	6	152.7451019
2	7	151.7647095
2	8	151.3725433
2	9	150.9803925
2	10	150.5882416
2	11	150.1960754
2	12	149.8039246
2	13	149.4117584
2	14	149.0196075
2	15	148.6274567
2	16	148.2352905
2	17	147.2548981
2	18	145.6862793
2	19	144.1176453
2	20	142.5490265
2	21	140.9803925
2	22	140
3	1	160
3	2	159.0196075
3	3	157.4509735
3	4	155.8823547
3	5	154.3137207
3	6	152.7451019
3	7	151.7647095
3	8	151.3725433
3	9	150.9803925
3	10	150.5882416
3	11	150.1960754
3	12	149.8039246
3	13	149.4117584
