IROW	ICOL	BTM
7	7	113
7	8	113
7	9	113
7	10	113
7	11	113
7	12	113
7	13	113
7	14	113
7	15	113
7	16	113
8	7	113
8	8	109
8	9	109
8	10	109
8	11	109
8	12	109
8	13	109
8	14	109
8	15	109
8	16	113
9	7	113
9	8	109
9	9	105
9	10	105
9	11	105
9	12	105
9	13	105
9	14	105
9	15	109
9	16	113
10	7	113
10	8	109
10	9	105
10	10	101
10	11	101
10	12	101
10	13	101
10	14	105
10	15	109
10	16	113
11	7	113
11	8	109
11	9	105
11	10	101
11	11	97
11	12	97
11	13	101
11	14	105
11	15	109
11	16	113
12	7	113
12	8	109
12	9	105
12	10	101
12	11	97
12	12	97
12	13	101
12	14	105
12	15	109
12	16	113
13	7	113
13	8	109
13	9	105
13	10	101
13	11	101
13	12	101
13	13	101
13	14	105
13	15	109
13	16	113
14	7	113
14	8	109
14	9	105
14	10	105
14	11	105
14	12	105
14	13	105
14	14	105
14	15	109
14	16	113
15	7	113
15	8	109
15	9	109
15	10	109
15	11	109
15	12	109
15	13	109
15	14	109
15	15	109
15	16	113
16	7	113
16	8	113
16	9	113
16	10	113
16	11	113
16	12	113
16	13	113
16	14	113
16	15	113
16	16	113
