 IPER  ISTEP  TLEN  ILYR  TOPIN  BOTIN  RCHIN  CNHIN  TOPOUT  BOTOUT  RCHOUT  CNHOUT  ABER
 1          1          1                1          0.0000            0.0000            45.0000           0.0000            0.0000            45.0000           0.0000            0.0000            -0.0000          
 1          1          1                2          45.0000           0.0000            0.0000            0.0000            0.0000            45.0000           0.0000            0.0000            0.0000           
 1          1          1                3          45.0000           0.0000            0.0000            0.0000            0.0000            45.0000           0.0000            0.0000            -0.0000          
 1          1          1                4          45.0000           0.0000            0.0000            0.0000            0.0000            45.0000           0.0000            0.0000            0.0000           
 1          1          1                5          45.0000           0.0000            0.0000            0.0000            0.0000            45.0000           0.0000            0.0000            0.0000           
 1          1          1                6          45.0000           0.0000            0.0000            0.0000            0.0000            45.0000           0.0000            0.0000            -0.0000          
 1          1          1                7          45.0000           0.0000            0.0000            7695.8963         0.0000            7740.8960         0.0000            0.0000            0.0003           
 1          1          1                8          7740.8960         0.0000            0.0000            7963.1101         0.0000            15704.0056        0.0000            0.0000            0.0005           
 1          1          1                9          15704.0056        0.0000            0.0000            8048.7284         0.0000            23752.7344        0.0000            0.0000            -0.0004          
 1          1          1                10         23752.7344        0.0000            0.0000            8084.5273         0.0000            0.0000            0.0000            31837.2621        -0.0004          
